ts,bus_voltage,shunt_voltage,load_voltage,current,power
230823182325,2.62,5.13,2.62,51.80,140.00
230823182326,2.62,5.40,2.62,53.30,140.00
230823182326,2.62,5.47,2.62,51.90,134.00
230823182326,2.62,5.08,2.62,51.70,138.00
230823182326,2.62,5.30,2.62,53.30,140.00
230823182326,2.62,4.91,2.62,51.50,134.00
230823182326,2.62,4.89,2.62,51.90,134.00
230823182326,2.62,5.17,2.62,52.00,138.00
230823182326,2.62,5.26,2.62,50.70,132.00
230823182327,2.62,5.40,2.62,54.50,144.00
230823182327,2.62,5.34,2.62,53.60,140.00
230823182327,2.62,5.18,2.62,48.50,128.00
230823182327,2.62,5.25,2.62,55.00,144.00
230823182327,2.62,5.48,2.62,55.10,144.00
230823182327,2.62,4.90,2.62,49.00,128.00
230823182327,2.62,5.18,2.62,53.50,132.00
230823182328,2.62,4.81,2.62,50.20,132.00
230823182328,2.62,4.90,2.62,49.10,128.00
230823182328,2.62,5.17,2.62,52.40,138.00
230823182328,2.62,5.43,2.62,54.30,140.00
230823182328,2.62,5.28,2.62,53.00,138.00
230823182328,2.62,5.17,2.62,51.10,134.00
230823182328,2.62,4.96,2.62,49.90,132.00
230823182328,2.62,5.09,2.62,52.20,128.00
230823182329,2.61,5.21,2.62,52.00,138.00
230823182329,2.62,5.20,2.63,52.10,138.00
230823182329,2.62,5.27,2.62,53.50,140.00
230823182329,2.62,5.30,2.62,54.00,138.00
230823182329,2.62,5.36,2.62,54.20,138.00
230823182329,2.62,5.10,2.62,45.20,118.00
230823182329,2.62,5.36,2.62,53.20,138.00
230823182330,2.62,5.36,2.63,53.60,140.00
230823182330,2.62,5.59,2.62,52.90,144.00
230823182330,2.62,5.36,2.62,53.90,140.00
230823182330,2.62,5.24,2.62,53.00,138.00
230823182330,2.62,4.71,2.62,45.60,118.00
230823182330,2.62,5.13,2.63,51.40,138.00
230823182330,2.62,4.86,2.62,49.20,128.00
230823182330,2.62,5.31,2.62,48.90,128.00
230823182331,2.62,5.34,2.62,53.60,140.00
230823182331,2.62,4.75,2.62,47.60,124.00
230823182331,2.62,5.03,2.62,50.40,128.00
230823182331,2.62,5.32,2.62,47.80,124.00
230823182331,2.62,4.58,2.62,46.80,122.00
230823182331,2.62,4.92,2.62,51.80,128.00
230823182331,2.62,5.32,2.62,50.10,132.00
230823182332,2.62,5.37,2.62,51.70,134.00
230823182332,2.62,5.20,2.62,52.70,138.00
230823182332,2.62,4.94,2.62,48.60,128.00
230823182332,2.62,4.90,2.62,50.80,124.00
230823182332,2.62,5.32,2.62,55.10,144.00
